ID_CLIENT,PAYMENT_DAY,APPLICATION_SUBMISSION_TYPE,POSTAL_ADDRESS_TYPE,SEX,MARITAL_STATUS,QUANT_DEPENDANTS,STATE_OF_BIRTH,NACIONALITY,RESIDENCIAL_STATE,FLAG_RESIDENCIAL_PHONE,RESIDENCIAL_PHONE_AREA_CODE,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_EMAIL,OTHER_INCOMES,FLAG_VISA,FLAG_MASTERCARD,FLAG_DINERS,FLAG_AMERICAN_EXPRESS,FLAG_OTHER_CARDS,QUANT_BANKING_ACCOUNTS,PERSONAL_ASSETS_VALUE,QUANT_CARS,COMPANY,PROFESSIONAL_STATE,FLAG_PROFESSIONAL_PHONE,PROFESSIONAL_PHONE_AREA_CODE,MONTHS_IN_THE_JOB,PROFESSION_CODE,OCCUPATION_TYPE,PRODUCT,AGE
26248,10,,1,F,2,0.0,RS,1,RS,N,NO_DATA,,0.0,1,0.0,0,0,0,0,0,1,0.0,1.0,Y,RS,Y,58,0.0,11.0,5,1.0,49.0
35068,5,WEB,1,F,2,0.0,RS,1,RS,Y,54,1,,1,0.0,1,0,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,13.0,5,1.0,69.0
34591,10,WEB,1,F,2,0.0,CE,1,CE,Y,107,1,3.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,11.0,,1.0,42.0
16669,10,,1,F,2,0.0,RN,1,RN,Y,105,1,35.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,9.0,5,1.0,30.0
12197,20,WEB,1,M,2,0.0,SE,1,SP,Y,5,1,12.0,1,0.0,0,1,0,0,0,0,0.0,0.0,Y,NO_JOB,N,NO_DATA,0.0,,,1.0,35.0
2601,10,,1,F,1,0.0,CE,1,CE,Y,107,1,20.0,0,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,N,NO_DATA,0.0,0.0,5,1.0,34.0
9048,25,,1,F,1,0.0,NO_DATA,0,GO,Y,67,2,0.0,1,0.0,0,0,0,0,0,1,0.0,1.0,N,NO_JOB,Y,67,0.0,11.0,5,1.0,26.0
2207,25,,1,F,1,1.0,PA,1,PA,Y,120,1,25.0,0,0.0,1,0,0,0,0,0,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,9.0,4,1.0,30.0
25608,10,WEB,1,M,1,0.0,RS,1,RS,Y,58,1,22.0,1,0.0,1,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,9.0,2,1.0,21.0
11607,10,WEB,1,M,2,0.0,PR,1,PR,Y,47,1,15.0,1,0.0,0,0,0,0,0,0,0.0,0.0,Y,PR,Y,47,0.0,13.0,2,1.0,48.0
3625,25,WEB,1,F,2,1.0,PR,1,SC,Y,50,2,,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,2.0,4,2.0,21.0
43028,25,,1,M,1,0.0,PE,1,SP,Y,5,1,0.0,1,0.0,0,0,0,0,0,1,0.0,1.0,Y,NO_JOB,N,NO_DATA,0.0,0.0,,1.0,53.0
15191,10,WEB,1,M,2,0.0,MG,1,MG,Y,29,1,12.0,1,0.0,1,1,0,0,0,1,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,2.0,67.0
25817,15,WEB,1,F,2,0.0,SP,1,SP,N,NO_DATA,1,26.0,1,0.0,0,0,0,0,0,0,0.0,0.0,N,NO_JOB,N,NO_DATA,0.0,,,1.0,66.0
26371,15,,1,F,1,0.0,RJ,1,RJ,Y,20,1,5.0,1,0.0,0,0,0,0,0,1,0.0,1.0,Y,RJ,Y,20,0.0,9.0,2,1.0,44.0
1282,15,,1,M,2,0.0,RS,1,RS,Y,58,1,3.0,0,0.0,0,0,0,0,0,1,0.0,1.0,Y,RS,Y,58,0.0,9.0,2,1.0,41.0
